Date,Employment_Rate
1977-01-01,64.58551
1977-02-01,64.70025
1977-03-01,64.91436999999999
1977-04-01,65.15753000000001
1977-05-01,65.25849000000001
1977-06-01,65.46552
1977-07-01,65.37863
1977-08-01,65.57096
1977-09-01,65.71104
1977-10-01,65.79969
1977-11-01,66.10399
1977-12-01,66.35771
1978-01-01,66.41845
1978-02-01,66.44438000000001
1978-03-01,66.60031
1978-04-01,66.91202
1978-05-01,67.0041
1978-06-01,67.27221
1978-07-01,67.05035
1978-08-01,67.29961999999999
1978-09-01,67.4302
1978-10-01,67.64053
1978-11-01,67.6822
1978-12-01,67.6902
1979-01-01,67.77705999999999
1979-02-01,67.87912
1979-03-01,67.94209000000001
1979-04-01,67.76598
1979-05-01,67.72476999999999
1979-06-01,67.80164
1979-07-01,67.97887
1979-08-01,67.78876
1979-09-01,68.16065
1979-10-01,68.05056
1979-11-01,67.98467
1979-12-01,68.20277
1980-01-01,67.96776
1980-02-01,67.92411
1980-03-01,67.69975
1980-04-01,67.40039
1980-05-01,67.01154
1980-06-01,66.85258
1980-07-01,66.80904
1980-08-01,66.67326
1980-09-01,66.92908
1980-10-01,66.95877
1980-11-01,67.00182
1980-12-01,67.0645
1981-01-01,67.23536999999999
1981-02-01,67.26311
1981-03-01,67.37843000000001
1981-04-01,67.63346
1981-05-01,67.48584
1981-06-01,66.95643000000001
1981-07-01,67.14185
1981-08-01,67.11066
1981-09-01,66.79605
1981-10-01,66.83353000000001
1981-11-01,66.64811999999999
1981-12-01,66.25912
1982-01-01,66.34016
1982-02-01,66.30691
1982-03-01,66.13998000000001
1982-04-01,65.94516
1982-05-01,66.0435
1982-06-01,65.69289
1982-07-01,65.64859
1982-08-01,65.73004
1982-09-01,65.58102
1982-10-01,65.28623
1982-11-01,65.16483000000001
1982-12-01,65.07706
1983-01-01,65.38186
1983-02-01,65.27516999999999
1983-03-01,65.24265
1983-04-01,65.30530999999999
1983-05-01,65.24734000000001
1983-06-01,65.90623000000001
1983-07-01,66.21494
1983-08-01,66.42689
1983-09-01,66.6249
1983-10-01,66.56749
1983-11-01,66.97308000000001
1983-12-01,67.12514
1984-01-01,67.23040999999999
1984-02-01,67.58534
1984-03-01,67.66554000000001
1984-04-01,67.86735
1984-05-01,68.31654
1984-06-01,68.53362
1984-07-01,68.39999
1984-08-01,68.2224
1984-09-01,68.33883
1984-10-01,68.37553
1984-11-01,68.51285
1984-12-01,68.60067
1985-01-01,68.72633
1985-02-01,68.83355999999999
1985-03-01,69.01099
1985-04-01,68.96327
1985-05-01,68.94179
1985-06-01,68.65866
1985-07-01,68.83638
1985-08-01,68.97412
1985-09-01,69.22068
1985-10-01,69.25593
1985-11-01,69.29356999999999
1985-12-01,69.33842
1986-01-01,69.44816999999999
1986-02-01,69.24161
1986-03-01,69.43467
1986-04-01,69.35053
1986-05-01,69.42768000000001
1986-06-01,69.72192
1986-07-01,69.78622
1986-08-01,69.88585
1986-09-01,69.85452
1986-10-01,69.97731999999999
1986-11-01,69.969
1986-12-01,70.09
1987-01-01,70.15294
1987-02-01,70.28275
1987-03-01,70.316
1987-04-01,70.50910999999999
1987-05-01,70.8141
1987-06-01,70.59573
1987-07-01,70.79816
1987-08-01,70.9998
1987-09-01,70.91298
1987-10-01,71.10712
1987-11-01,71.16384000000001
1987-12-01,71.29101
1988-01-01,71.31944
1988-02-01,71.37463000000001
1988-03-01,71.28188
1988-04-01,71.51935999999999
1988-05-01,71.33422
1988-06-01,71.58801
1988-07-01,71.67727
1988-08-01,71.79445
1988-09-01,71.81451
1988-10-01,71.94527
1988-11-01,72.04404
1988-12-01,72.12003
1989-01-01,72.28027
1989-02-01,72.29569000000001
1989-03-01,72.41478000000001
1989-04-01,72.34369000000001
1989-05-01,72.39124
1989-06-01,72.57095
1989-07-01,72.59119
1989-08-01,72.70403
1989-09-01,72.49825
1989-10-01,72.58706
1989-11-01,72.74308
1989-12-01,72.58896999999999
1990-01-01,72.48040999999999
1990-02-01,72.44901
1990-03-01,72.48399
1990-04-01,72.32555
1990-05-01,72.49494
1990-06-01,72.41783000000001
1990-07-01,72.28251
1990-08-01,72.12161
1990-09-01,71.94703
1990-10-01,71.93303
1990-11-01,71.59189
1990-12-01,71.56573
1991-01-01,71.36281
1991-02-01,71.20143
1991-03-01,71.07015
1991-04-01,71.21989
1991-05-01,70.86783
1991-06-01,71.04198000000001
1991-07-01,70.98611
1991-08-01,70.76395
1991-09-01,70.95319
1991-10-01,70.8287
1991-11-01,70.70510999999999
1991-12-01,70.55946
1992-01-01,70.83586
1992-02-01,70.66775
1992-03-01,70.70174
1992-04-01,70.86639
1992-05-01,70.81245
1992-06-01,70.95419
1992-07-01,71.10919
1992-08-01,70.91855
1992-09-01,70.76061999999999
1992-10-01,70.6317
1992-11-01,70.66599000000001
1992-12-01,70.78416
1993-01-01,70.85103000000001
1993-02-01,70.95681
1993-03-01,71.01007
1993-04-01,70.93478
1993-05-01,71.19615999999999
1993-06-01,71.34239000000001
1993-07-01,71.33969
1993-08-01,71.38101999999999
1993-09-01,71.19997
1993-10-01,71.21941
1993-11-01,71.45024000000001
1993-12-01,71.59806
1994-01-01,71.55933
1994-02-01,71.67239000000001
1994-03-01,71.56922
1994-04-01,71.65165999999999
1994-05-01,71.96696
1994-06-01,71.82497
1994-07-01,71.85639
1994-08-01,72.10694000000001
1994-09-01,72.23763000000001
1994-10-01,72.4297
1994-11-01,72.59338000000001
1994-12-01,72.65655
1995-01-01,72.56625
1995-02-01,72.71523
1995-03-01,72.67902
1995-04-01,72.60472
1995-05-01,72.41298
1995-06-01,72.44603000000001
1995-07-01,72.55072
1995-08-01,72.47986999999999
1995-09-01,72.49014
1995-10-01,72.56976
1995-11-01,72.50177
1995-12-01,72.37076
1996-01-01,72.35098
1996-02-01,72.52258
1996-03-01,72.58811999999999
1996-04-01,72.5637
1996-05-01,72.70215999999999
1996-06-01,72.81981999999999
1996-07-01,72.97932
1996-08-01,73.04305
1996-09-01,73.16701
1996-10-01,73.29018
1996-11-01,73.17096
1996-12-01,73.1287
1997-01-01,73.0508
1997-02-01,73.0754
1997-03-01,73.36824
1997-04-01,73.34245
1997-05-01,73.48302
1997-06-01,73.45033000000001
1997-07-01,73.6683
1997-08-01,73.75298000000001
1997-09-01,73.65437
1997-10-01,73.66705
1997-11-01,73.81175
1997-12-01,73.75459000000001
1998-01-01,73.70699
1998-02-01,73.77927
1998-03-01,73.79034
1998-04-01,73.87029
1998-05-01,73.8739
1998-06-01,73.80325
1998-07-01,73.73663
1998-08-01,73.8111
1998-09-01,73.93894
1998-10-01,73.86716
1998-11-01,73.91169000000001
1998-12-01,74.04733
1999-01-01,74.07497
1999-02-01,73.93726
1999-03-01,73.9397
1999-04-01,73.81314
1999-05-01,73.9844
1999-06-01,73.90406999999999
1999-07-01,73.88299
1999-08-01,73.91801
1999-09-01,73.8392
1999-10-01,73.94485
1999-11-01,74.03429
1999-12-01,74.10452
2000-01-01,74.25278
2000-02-01,74.27563
2000-03-01,74.22861
2000-04-01,74.51271
2000-05-01,74.08559
2000-06-01,74.21468
2000-07-01,73.83424000000001
2000-08-01,73.88336
2000-09-01,73.87006
2000-10-01,73.89146
2000-11-01,73.9265
2000-12-01,74.10823
2001-01-01,73.96539
2001-02-01,73.87317
2001-03-01,73.90696
2001-04-01,73.55479
2001-05-01,73.3963
2001-06-01,73.14311
2001-07-01,73.12476
2001-08-01,72.57944
2001-09-01,72.78493
2001-10-01,72.46413000000001
2001-11-01,72.31775
2001-12-01,72.23886999999999
2002-01-01,72.03242
2002-02-01,72.33774
2002-03-01,72.15491
2002-04-01,71.90298
2002-05-01,72.01939
2002-06-01,71.84262
2002-07-01,71.74495999999999
2002-08-01,71.88376
2002-09-01,72.0507
2002-10-01,71.87473
2002-11-01,71.54903
2002-12-01,71.57851
2003-01-01,71.59366999999999
2003-02-01,71.51604
2003-03-01,71.39416999999999
2003-04-01,71.38895
2003-05-01,71.22121
2003-06-01,71.22983
2003-07-01,71.00509
2003-08-01,71.01493
2003-09-01,70.9225
2003-10-01,71.05285
2003-11-01,71.12961999999999
2003-12-01,71.10183
2004-01-01,71.26099
2004-02-01,71.2038
2004-03-01,71.04695
2004-04-01,71.19492
2004-05-01,71.1423
2004-06-01,71.10717
2004-07-01,71.29605
2004-08-01,71.25815
2004-09-01,71.16184
2004-10-01,71.22884
